ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2023;9;2023-02-26;[10,20);COMUNA 11;2;1;1;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 11;1;0;0;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 11;1;1;1;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 11;2;2;2;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 11;1;1;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 11;4;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 12;3;0;0;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 12;1;0;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 12;1;1;1;1;0;0
2023;9;2023-02-26;[50,60);COMUNA 12;1;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 12;1;0;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 13;0;1;1;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 13;1;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 13;1;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 14;1;1;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 14;3;2;2;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 14;2;2;0;0;0;0
2023;9;2023-02-26;[10,20);COMUNA 15;1;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 15;1;0;0;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 15;1;0;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 15;2;0;0;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 15;2;2;2;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 15;2;1;1;0;0;0
2023;9;2023-02-26;[70,80);COMUNA 15;2;0;0;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 2;1;1;0;0;0;0
2023;9;2023-02-26;[0,10);COMUNA 3;1;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 3;1;1;0;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 3;2;1;1;0;0;0
2023;9;2023-02-26;[0,10);COMUNA 4;1;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 4;4;1;1;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 4;4;1;0;1;0;0
2023;9;2023-02-26;[40,50);COMUNA 4;6;1;1;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 4;2;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 4;2;0;0;0;0;0
2023;9;2023-02-26;[70,80);COMUNA 4;2;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 5;1;0;0;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 5;2;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 6;0;2;2;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 6;1;0;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 6;1;0;0;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 6;2;2;2;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 6;1;0;0;0;0;0
2023;9;2023-02-26;[0,10);COMUNA 7;1;0;0;0;0;0
2023;9;2023-02-26;[10,20);COMUNA 7;2;2;2;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 7;2;1;1;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 7;3;2;1;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 7;1;0;0;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 7;1;1;1;0;0;0
2023;9;2023-02-26;[80,90);COMUNA 7;1;0;0;0;0;0
2023;9;2023-02-26;[0,10);COMUNA 8;2;0;0;0;0;0
2023;9;2023-02-26;[10,20);COMUNA 8;3;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 8;1;1;1;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 8;3;2;2;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 8;3;0;0;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 8;1;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 8;1;0;0;0;0;0
2023;9;2023-02-26;[0,10);COMUNA 9;1;3;3;0;0;0
2023;9;2023-02-26;[10,20);COMUNA 9;8;10;8;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 9;9;7;7;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 9;7;8;8;1;0;0
2023;9;2023-02-26;[40,50);COMUNA 9;8;7;6;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 9;5;5;5;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 9;2;3;3;0;0;0
2023;9;2023-02-26;[70,80);COMUNA 9;1;2;2;0;0;0
2023;9;2023-02-26;[80,90);COMUNA 9;0;1;0;0;0;0
2023;9;2023-02-26;[10,20);SIN DATOS;1;0;0;0;0;0
2023;9;2023-02-26;[30,40);SIN DATOS;2;0;0;0;0;0
2023;9;2023-02-26;[40,50);SIN DATOS;1;0;0;0;0;0
2023;9;2023-02-26;[50,60);SIN DATOS;1;1;1;1;0;0
2023;9;2023-02-26;[60,70);SIN DATOS;1;0;0;0;0;0
2023;10;2023-03-05;[10,20);COMUNA 1;1;0;0;0;0;0
2023;10;2023-03-05;[20,30);COMUNA 1;5;3;3;0;0;0
2023;10;2023-03-05;[30,40);COMUNA 1;4;5;5;1;0;0
2023;10;2023-03-05;[40,50);COMUNA 1;1;1;1;0;0;0
2023;10;2023-03-05;[50,60);COMUNA 1;1;0;0;0;0;0
